ラプラスex,Lapras ex
コロモリ,Fleknoil
サーナイト,Guardevoir
キルリア,Kirlia
ラルトス,Trasla
ミュウツー,Mewtu
ルージュラ,Rossana
バリヤード,Pantimos
スリーパー,Hypno
スリープ,Traumato
ゲンガー,Gengar
ゴースト,Alpollo
ゴース,Nebulak
ヤドラン,Lahmus
ユンゲラー,Kadabra
ケーシィ,Abra
ピクシー,Pixi
ピッピ,Piepi
バチンウニ,Britzigel
エレザード,Elezard
エリキテル,Eguana
シビルドン,Zapplarang
シビビール,Zapplalek
シビシラス,Zapplardin
ゼブライカ,Zebritz
シママ,Elezeba
サンダー,Zapdos
サンダース,Blitza
エレブー,Elektek
ビリリダマ,Voltobal
レアコイル,Magneton
コイル,Magnetilo
ライチュウ,Raichu
モスノウ,Mottineva
ユキハミ,Snomnom
ハギギシリ,Knirfish
ナマコブシ,Gufa
ゲッコウガ,Quajutsu
ゲコガシラ,Amphizel
ケロマツ,Froxy
スワンナ,Swaroness
コアルヒー,Piccolente
フリーザー,Arktos
オムスター,Amoroso
オムナイト,Amonitas
シャワーズ,Aquana
コイキング,Karpador
スターミー,Starmie
ヒトデマン,Sterndu
アズマオウ,Golking
トサキント,Goldini
シードラ,Seemon
タッツー,Seeper
キングラー,Kingler
クラブ,Krabby
パルシェン,Austos
シェルダー,Muschas
ジュゴン,Jugong
パウワウ,Jurob
ドククラゲ,Tentoxa
メノクラゲ,Tentacha
ニョロボン,Quappo
ニョロゾ,Quaputzi
ニョロモ,Quapsel
ゴルダック,Entoron
コダック,Enton
カメックス,Turtok
カメール,Schillok
マルヤクデ,Infernopod
ヤクデ,Thermopod
エンニュート,Amfira
ヤトウモリ,Molunk
クイタラン,Furnifraß
ファイヤー,Lavados
ブースター,Flamara
ブーバー,Magmar
ポニータ,Ponita
ウインディ,Arkani
ガーディ,Fukano
キュウコン,Vulnona
ロコン,Vulpix
リザードン,Glurak
リザード,Glutexo
ゴーゴート,Chevrumm
メェークル,Mähikel
ドレディア,Dressella
チュリネ,Lilminip
エルフーン,Elfun
モンメン,Waumboll
ストライク,Sichlor
モンジャラ,Tangela
ナッシー,Kokowei
タマタマ,Owei
ウツボット,Sarzenia
ウツドン,Ultrigaria
マダツボミ,Knofensa
モルフォン,Omot
コンパン,Bluzuk
パラセクト,Parasek
パラス,Paras
ラフレシア,Giflor
ナゾノクサ,Myrapla
スピアー,Bibor
コクーン,Kokuna
ビードル,Hornliu
トランセル,Safcon
キャタピー,Raupy
フシギバナ,Bisaflor
フシギソウ,Bisaknosp
コイル,Kangama
ミュウex,Mew ex
セレビィex,Celebi ex
プテラex,Aerodactyl ex
リーフ,Leaf
グリーン,Blau
かけだし調査員,Abenteurer-Neuling
ピジョットex,Tauboss ex
ギャラドスex,Garados ex
マーシャドー,Marshadow
デデンネ,Dedenne
ジャローダ,Serpiroyal
幻の石板,Mythische Tafel
ポケモンの笛,Pokémon-Flöte
ペラップ,Plaudagei
クリムガン,Shardrago
ペンドラー,Cerapendra
ホイーガ,Rollum
フシデ,Toxiped
レパルダス,Kleoparda
チョロネコ,Felilou
イシヘンジン,Humanolith
ペロリーム,Sabbaione
ペロッパフ,Flauschling
フラージェス,Florges
フラエッテ,Floette
フラベベ,Flabébé
オーベム,Megalon
リグレー,Pygraulon
シンボラー,Symvolara
デンチュラ,Voltula
バチュル,Wattzapf
ウッウ,Urgl
カジリガメ,Kamalm
カムカメ,Kamehaps
ネオラント,Lumineon
ケイコウオ,Finneon
ウルガモス,Ramoth
メラルバ,Ignivor
ダダリン,Moruda
マシェード,Lamellux
ネマシュ,Bubungus
ジャノビー,Efoserp
ツタージャ,Serpifeu
ディアルガex,Dialga ex
パルキアex,Palkia ex
ベロベルトex,Schlurplek ex
ダークライex,Darkrai ex
マニューラex,Snibunna ex
エルレイドex,Galagladi ex
ムウマージex,Traunmagil ex
パチリスex,Pachirisu ex
ゴウカザルex,Panferno ex
メガヤンマex,Yanmega ex
マーズ,Mars
ヒカリ,Lucia
デンジ,Volkner
シロナ,Cynthia
ギンガ団のしたっぱ,Rüpel von Team Galaktik
アカギ,Zyrus
レジギガス,Regigigas
ニャルマー,Charmian
ビッパ,Bidiza
ムクホーク,Staraptor
ガブリアス,Knakrack
ヒードラン,Heatran
グレッグル,Glibunkel
ミカルゲ,Kryppuk
ヒポポタス,Hippopotas
ルカリオ,Lucario
ドサイドン,Rihornior
クレセリア,Cresselia
ギラティナ,Giratina
エムリット,Vesprit
フワンテ,Driftlon
ロトム,Rotom
コリンク,Sheinux
マナフィ,Manaphy
トリトドン,Gastrodon
マンムー,Mamutel
シェイミ,Shaymin
マスキッパ,Venuflibis
ミツハニー,Wadribie
モジャンボ,Tangoloss
ラムのみ,Prunusbeere
ゴツゴツメット,Beulenhelm
大きなマント,Riesige Robe
ポケモン通信,Pokémon-Kommunikation
たての化石,Panzerfossil
ずがいの化石,Kopffossil
スピンロトム,Wirbel-Rotom
ブニャット,Shnurgarst
ミミロップ,Schlapor
ミミロル,Haspiror
ビーダル,Bidifas
ムクバード,Staravia
ムックル,Staralili
エテボース,Ambidiffel
エイパム,Griffel
ポリゴンZ,Porygon-Z
ポリゴン2,Porygon2
ガバイト,Knarksel
フカマル,Kaumalat
ダイノーズ,Voluminas
ドータクン,Bronzong
ドーミラー,Bronzel
ミノマダム（ゴミのミノ）,Burmadame
トリデプス,Bollterus
タテトプス,Schilterus
レジスチル,Registeel
エアームド,Panzaeron
ダークライ,Darkrai
ドクロッグ,Toxiquak
ドラピオン,Piondragi
スコルピ,Pionskora
スカタンク,Skuntank
スカンプー,Skunkapuh
グラエナ,Magnayen
ポチエナ,Fiffyen
ニューラ,Sniebel
ドンカラス,Kramshef
ヤミカラス,Kramurx
カバルドン,Hippoterus
リオル,Riolu
ミノマダム（すなちのミノ）,Burmadame
ラムパルド,Rameidon
ズガイドス,Koknodon
レジロック,Regirock
ノズパス,Nasgnet
カポエラー,Kapoera
グライオン,Skorgro
グライガー,Skorgla
アグノム,Tobutz
ユクシー,Selfe
フワライド,Drifzepeli
ヨノワール,Zwirrfinst
サマヨール,Zwirrklop
ヨマワル,Zwirrlicht
ムウマ,Traunfugil
トゲキッス,Togekiss
トゲチック,Togetic
トゲピー,Togepi
レントラー,Luxtra
ルクシオ,Luxio
エレキブル,Elevoltek
ジバコイル,Magnezone
フロストロトム,Frost-Rotom
ウォッシュロトム,Wasch-Rotom
グレイシア,Glaziola
ユキノオー,Rexblisar
ユキカブリ,Shnebedeck
カラナクシ,Schalellos
フローゼル,Bojelin
ブイゼル,Bamelin
エンペルト,Impoleon
ポッタイシ,Pliprin
ポッチャマ,Plinfa
レジアイス,Regice
イノムー,Keifel
ウリムー,Quiekel
ヒートロトム,Hitze-Rotom
モウカザル,Panpyro
ヒコザル,Panflam
マグカルゴ,Magcargo
マグマッグ,Schneckmag
ブーバーン,Magbrant
カットロトム,Schneid-Rotom
リーフィア,Folipurba
ビークイン,Honweisel
ミノマダム,Burmadame
ミノムッチ,Burmy
コロトック,Zirpeise
コロボーシ,Zirpurze
ドダイトス,Chelterrar
ハヤシガメ,Chelcarain
ナエトル,Chelast
ロズレイド,Roserade
ロゼリア,Roselia
ヤンヤンマ,Yanma
キレイハナ,Blubella
クレセリアex,Cresselia ex
アルセウスex,Arceus ex
ダイノーズex,Voluminas ex
ガブリアスex,Knakrack ex
グレイシアex,Glaziola ex
リーフィアex,Folipurba ex
セキ,Diam
ジュン,Barry
カンナギタウンの長老,Älteste von Elyses
カイ,Perla
ウソッキー,Mogelbaum
アンノーン,Icognito
マリル,Marill
ヘルガー,Hundemon
アルセウス,Arceus
ヨルノズク,Noctuh
ホーホー,Hoothoot
オリジンディアルガ,Ur-Dialga
クロバット,Iksbat
チャーレム,Meditalis
アサナン,Meditie
バンギラス,Despotar
サナギラス,Pupitar
ヨーギラス,Larvitar
ドンファン,Donphan
ゴマゾウ,Phanpy
ライボルト,Voltenso
ラクライ,Frizelbliz
フィオネ,Phione
オリジンパルキア,Ur-Palkia
ユキメノコ,Frosdedje
ユキワラシ,Schneppke
ナマズン,Welsar
ドジョッチ,Schmerbe
マリルリ,Azumarill
デルビル,Hunduster
チェリム（ポジ）,Kinoso
チェリム（ネガ）,Kinoso
チェリンボ,Kikugi
ガーメイル,Moterpel
ヘラクロス,Skaraborn
ニャオハ,Forgita
パチリス,Pachirisu
パーモット,Pamomamo
モトトカゲ,Mopex
ルカリオex,Lucario ex
ウミトリオex,Schligdri ex
スピアーex,Bibor ex
ブロロローム,Knattatox
ブロロン,Knattox
ヘイラッシャ,Heerashai
ウミディグダ,Schligda
ギラティナex,Giratina ex
ビーダルex,Bidifas ex
デカヌチャンex,Granforgita ex
パルデアドオーex,Paldea-Suelord ex
ロケット団のしたっぱ,Rüpel von Team Rocket
レッド,Rot
ポケモンセンターのお姉さん,Pokémon-Center-Dame
ナンジャモ,Enigmara
サーフゴー,Monetigo
タギングル,Affiti
シャリタツ,Nigiragi
マスカーニャ,Maskagato
ベロベルト,Schlurplek
ナカヌチャン,Tafforgita
カヌチャン,Forgita
シルシュルー,Sproxi
パルデアウパー,Paldea-Felino
カラミンゴ,Flaminkno
コレクレー,Gierspenst
パモット,Pamamo
パモ,Pamo
パルデアケンタロス,Paldea-Tauros
ニャローテ,Feliospa
ニャオハ,Felori
ドデカバシ,Tukanon
アローラベトベター,Alola-Sleima
マケンカニ,Krabbox
アローラナッシー,Alola-Kokowei
ミミッキュ,Mimigma
レックウザex,Rayquaza ex
レックウザ,Rayquaza
ソルガレオex,Solgaleo ex
ルナアーラex,Lunala ex
リーリエ,Lilly
グズマ,Bromley
アローラベトベトンex,Alola-Sleimok ex
ナゲツケサルex,Quartermak ex
ヨワシex,Lusardin ex
ケケンカニex,Krawell ex
ガオガエンex,Fuegro ex
ダダリンex,Moruda ex
ジュナイパーex,Silvarro ex
マオ,Maho
マーマネ,Chrys
スイレン,Tracy
カキ,Kiawe
イリマ,Elima
アセロラ,Lola
ネッコアラ,Koalelu
キテルグマ,Kosturso
ツツケラ,Peppeck
ジジーロン,Sen-Long
マギアナ,Magearna
メテノ,Meteno
バンバドロ,Pampross
イワンコ,Wuffels
コスモッグ,Cosmog
カプ・テテフ,Kapu-Fala
スナバァ,Sankabuh
キュワワー,Curelei
アブリー,Wommel
カプ・コケコ,Kapu-Riki
オドリドリ（ぱちぱち）,Choreogel
カプ・レヒレ,Kapu-Kime
バクガメス,Tortunator
アローラガラガラ,Alola-Knogga
カプ・ブルル,Kapu-Toro
アマージョ,Fruyal
リーフマント,Blätterumhang
どくバリ,Giftstich
ロトム図鑑,Rotom-Pokédex ex
ふしぎなアメ,Sonderbonbon
おさかなネット,Fischernetz
おおきいマラサダ,Maxi-Malasada
ヤレユータン,Kommandutan
ヌイコグマ,Velursi
デカグース,Manguspektor
ヤングース,Mangunior
ケララッパ,Trompeck
ルチャブル,Resladero
ヤヤコマ,Dartiri
エネコロロ,Enekoro
エネコ,Eneco
ジャラランガ,Grandiras
ジャランゴ,Mediras
ジャラコ,Miniras
クレッフィ,Clavion
シュバルゴ,Cavalanzas
ドリュウズ,Stalobor
アローラダグトリオ,Alola-Digdri
アローラディグダ,Alola-Digda
ドヒドイデ,Aggrostella ex
ヒドイデ,Garstella
ダストダス,Deponitox
ヤブクロン,Unratütox
アブソル,Absol
アローラペルシアン,Alola-Snobilikat
アローラニャース,Alola-Mauzi
アローララッタ,Alola-Rattikarl
アローラコラッタ,Alola-Rattfratz
ドロバンコ,Pampuli
ルガルガン,Wolwerock
ローブシン,Meistagrif
ドテッコツ,Strepoli
ドッコラー,Praktibalk
モグリュー,Rotomurf
ソルロック,Sonnfel
ハリテヤマ,Hariyama
マクノシタ,Makuhita
ネクロズマ,Necrozma
コスモウム,Cosmovum
シロデスナ,Colossand
アブリボン,Bandelby
オドリドリ（まいまい）,Choreogel
オドリドリ（ふらふら）,Choreogel
ジュペッタ,Banette
カゲボウズ,Shuppet
ルナトーン,Lunastein
ブーピッグ,Groink
バネブー,Spoink
ヤミラミ,Zobiris
トゲデマル,Togedemaru
クワガノン,Donarion
デンヂムシ,Akkup
オニシズクモ,Aranestro
シズクモ,Araqua
ヨワシ,Lusardin
アシレーヌ,Primarene
オシャマリ,Marikeck
アシマリ,Robball
アローラサンドパン,Alola-Sandamer
アローラサンド,Alola-Sandan
オドリドリ（めらめら）,Choreogel
ニャヒート,Miezunder
ニャビー,Flamiau
ファイアロー,Fiaro
ヒノヤコマ,Dartignis
グソクムシャ,Tectass
コソクムシ,Reißlaus
アママイコ,Frubaila
アマカジ,Frubberl
ラランテス,Mantidea
カリキリ,Imantis
アゴジムシ,Mabula
フクスロー,Arboretoss
モクロー,Bauz
オーロット,Trombork
ボクレー,Paragoni
カブルモ,Laukaps
マラカッチ,Maracamba
アメモース,Maskeregen
アメタマ,Gehweiher
ベベノム,Venicro
ウルトラネクロズマex,Bisasam ex
ツンデツンデ,Muramura
ネクロズマ（たそがれのたてがみ）,Abendmähne-Necrozma
ネクロズマ（あかつきのつばさ）,Morgenschwingen-Necrozma
デンジュモク,Voltriant
ズガドーン,Kopplosio
カミツルギ,Katagami
ゼラオラ,Zeraora
ウツロイド,Anego
マッシブーンex,Masskito ex
アローラダグトリオex,Alola-Digdri ex
アクジキングex,Schlingking ex
ルガルガンex,Wolwerock ex
カプ・コケコex,Kapu-Riki ex
ルザミーネ,Samantha
ハンサム,LeBelle
グラジオ,Gladio
テッカグヤ,Kaguron
シルヴァディ,Amigento
フェローチェ,Schabelle
ビーストナイト,Bestienit
エレキコード,Elektrokabel
むしよけスプレー,Schutz
ビーストウォール,Bestienwand
タイプ：ヌル,Typ:Null
ムーランド,Bissbark
ハーデリア,Terribark
ヨーテリー,Yorkleff
ナットレイ,Tentantel
テッシード,Kastadur
ボスゴドラ,Stolloss
コドラ,Stollrak
ココドラ,Stollunior
アーゴヨン,Agoyon
ワルビアル,Rabigator
ワルビル,Rokkaiman
メグロコ,Ganovil
ナゲツケサル,Quartermak
ネンドール,Lepumentas
ヤジロン,Puppance
エモンガ,Emolga
サメハダー,Tohaido
キバニア,Kanivanha
マンタイン,Mantax
ジュナイパー,Silvarro
イーブイのバッグ,Evoli-Rucksack
イーブイex,Evoli ex
カビゴンex,Relaxo ex
カイリューex,Dragoran ex
ニンフィアex,Feelinara ex
アシレーヌex,Primarene ex
ブースターex,Flamara ex
ボタン,Cosima
ハウ,Tali
ブラッキー,Nachtara
ニンフィア,Feelinara
エーフィ,Psiana
たべのこし,Überreste
ヨクバリス,Schlaraffel
ホシガリス,Raffel
タブンネ,Ohrdoch
メレシー,Rocara
マホイップ,Pokusan
マホミル,Hokumil
ママンボウ,Mamolida
バイバニラ,Gelatwino
バニリッチ,Gelatroppo
バニプッチ,Gelatini
ガオガエン,Fuegro
コータス,Qurtel
タルップル,Schlapfel
カジッチュ,Knapfel
トロピウス,Tropius
ルギアex,Lugia ex
ホウオウex,Ho-Oh ex
エアームドex,Panzaeron ex
ブラッキーex,Nachtara ex
クロバットex,Iksbat ex
ドンファンex,Donphan ex
エーフィex,Psiana ex
ランターンex,Lanturn ex
キングドラex,Seedraking ex
ツボツボex,Pottrott ex
やまおとこ,Wanderer
ミカン,Jasmin
釣り人,Angler
シルバー,Silber
コトネ,Lyra
イツキ,Willi
ハピナス,Heiteira
ドーブル,Farbeagle
オドシシ,Damhirplex
オタチ,Wiesor
ハッサム,Scherox
イトマル,Webarak
ソーナンス,Woingenau
ネイティオ,Xatu
デンリュウ,Ampharos
ピチュー,Pichu
デリバード,Botogel
オクタン,Octillery
ハリーセン,Baldorfish
ワニノコ,Karnimani
ブビィ,Magby
ヒノアラシ,Feurigel
チコリータ,Endivie
レスキュースカーフ,Rettender Schal
ダークペンダント,Dunkler Anhänger
鋼鉄のまえかけ,Stählerne Schürze
ゼニガメじょうろ,Schiggykanne
エレメンタルつけかえ,Elementartausch
バッフロン,Bisofank
リングマ,Ursaring
ヒメグマ,Teddiursa
ノコッチ,Dummisel
オオタチ,Wiesenior
ギギギアル,Klikdiklak
ギギアル,Kliklak
ギアル,Klikk
ハガネール,Stahlos
フォレトス,Forstellka
マニューラ,Snibunna
アリアドス,Ariados
ガメノデス,Thanathora
カメテテ,Bithora
バルキー,Rabauz
ムシャーナ,Somnivora
ムンナ,Somniam
グランブル,Granbull
ブルー,Snubbull
キリンリキ,Girafarig
アンノーン（パワー）,Icognito
アンノーン（ガード）,Icognito
ネイティ,Natu
ピィ,Pii
ムチュール,Kussilla
ヤドキング,Laschoking
ライコウ,Raikou
エレキッド,Elekid
モココ,Waaty
メリープ,Voltilamm
チョンチー,Lampi
シザリガー,Krebutack
ヘイガニ,Krebscorps
スイクン,Suicune
テッポウオ,Remoraid
サニーゴ,Corasonn
ヌオー,Morlord
ウパー,Felino
オーダイル,Impergator
アリゲイツ,Tyracroc
ニョロトノ,Quaxo
ヒヒダルマ,Flampivian
ダルマッカ,Flampion
エンテイ,Entei
バクフーン,Tornupto
マグマラシ,Igelavar
チェリム,Kinoso
クヌギダマ,Tannza
メガヤンマ,Yanmega
キマワリ,Sonnflora
ヒマナッツ,Sonnkern
ワタッコ,Papungha
ポポッコ,Hubelupf
ハネッコ,Hoppspross
レディアン,Ledian
レディバ,Ledyba
メガニウム,Meganie
ベイリーフ,Lorblatt
ハピナスex,Heiteira ex
タマンタ,Mantirps
スイクンex,Suicune ex
ニョロボンex,Quappo ex
ライコウex,Raikou ex
エンテイex,Entei ex
ワタッコex,Papungha ex
マツバ,Jens
旅の行商人,Reisender Händler
アカネ,Bianka
ルリリ,Azurill
ラティオス,Latios
ワンパチ,Voldi
マッギョ,Flunschlik
ミロカロス,Milotic
メモリーライト,Erinnerungslicht
ウォーターボード,Schlauchboot
ザングース,Sengo
チルット,Wablu
ミルタンク,Miltank
ププリン,Fluffeluff
チルタリス,Altaria
ドラミドロ,Tandrak
クズモー,Algitt
カラマネロ,Calamanero
マーイーカ,Iscalar
ゾロアーク,Zoroark
ゾロア,Zorua
ハブネーク,Vipitis
イワパレス,Castellith
イシズマイ,Lithomith
ジーランス,Relicanth
ブルンゲル,Apoquallyp
プルリル,Quabbel
ラティアス,Latias
ガラルサニゴーン,Bisasam
ガラルサニーゴ,Bisasam
ムウマージ,Traunmagil
パルスワン,Bellektro
フリージオ,Frigometri
ヒンバス,Barschwa
アイアント,Fermicula
セレビィ,Celebi
フレイムパッチ,Flammenpflaster
アルセウスex,Arceus
ビーダルex,Bidifas
ディアルガex,Dialga
アローラダグトリオex,Digdri
ナゲツケサルex,Quartermak
ルガルガンex,Wolwerock
カプ・コケコex,Kapu-Riki
ピカチュウex,Pikachu
アシレーヌex,Primarene
パルキアex,Palkia
ガオガエンex,Fuegro
ジュナイパーex,Silvarro
アローラディグダ,Digda
メガチルタリスex,Altaria
メガギャラドスex,Garados
メガバシャーモex,Lohgock
ケンタロスex,Tauros
メルメタルex,Melmetal
ドラミドロex,Tandrak
メガアブソルex,Absol
エビワラーex,Nockchan
イエッサンex（メス）,Servol
メガデンリュウex,Ampharos
サンダースex,Blitza
ゲッコウガex,Quajutsu
ギャロップex,Gallopa
エルフーンex,Elfun
メガカイロスex,Pinsir
ルチア,Xenia
モノマネ娘,Imitarin
メリッサ,Lamina
ハルカ,Maike
ハラ,Hala
シズイ,Benson
ワシボン,Geronimatz
ヌメラ,Viscora
アーマーガア,Krarmor
サザンドラ,Trikephalo
ヤンチャム,Pam
アーケオス,Aeropteryx
ゴチム,Mollimorba
デスカーン,Echnatoll
コオリッポ,Kubuin
ケルディオ,Keldeo
ルンパッパ,Kappalores
シャンデラ,Skelabra
ゴリランダー,Gortrom
アゲハント,Papinella
ラッキーミトン,Glückshandschuhe
ヘビーメット,Schwerer Helm
オボンのみ,Tsitrubeere
ふたの化石,Schildfossil
ヒットハンマー,Schlagender Hammer
はねの化石,Federfossil
いたずらルーレット,Rad des Zufalls
アオガラス,Kranoviz
ココガラ,Meikro
トリミアン,Coiffwaff
ウォーグル,Washakwil
ミルホッグ,Kukmarda
ミネズミ,Nagelotz
パッチール,Pandir
バクオング,Krawumms
ドゴーム,Krakeelo
ゴニョニョ,Flurmel
マッスグマ,Geradaks
ジグザグマ,Zigzachs
ヌメルゴン,Viscogon
ヌメイル,Viscargot
ギルガルド,Durengard
ニダンギル,Duokles
ヒトツキ,Gramokles
コバルオン,Kobalium
オーロンゲ,Olangaar
ギモー,Pelzebub
ベロバー,Bähmon
ゴロンダ,Pandagro
ジヘッド,Duodino
モノズ,Kapuno
セキタンザン,Montecarbo
トロッゴン,Wagong
タンドン,Klonkett
ケケンカニ,Krawell
テラキオン,Terrakium
アーケン,Flapteryx
フレフワン,Parfinesse
シュシュプ,Parfi
ゴチルゼル,Morbitesse
ゴチミル,Hypnomorba
デスマス,Makabaja
リーシャン,Klingplim
ジラーチ,Jirachi
カマスジョー,Barrakiefa
サシカマス,Pikuda
クレベース,Arktilas
カチコール,Arktip
アバゴーラ,Karippas
プロトーガ,Galapaflos
ガマゲロゲ,Branawarz
ガマガル,Mebrana
オタマロ,Schallquap
ヒヤッキー,Sodachita
ヒヤップ,Sodamak
ラブカス,Liebiskus
ホエルオー,Wailord
ホエルコ,Wailmer
ハスブレロ,Lombrero
ハスボー,Loturzel
カエンジシ,Pyroleo
シシコ,Leufeo
ランプラー,Laternecto
ヒトモシ,Lichtel
バオッキー,Grillchita
バオップ,Grillmak
バシャーモ,Lohgock
ワカシャモ,Jungglut
アチャモ,Flemmli
ホウオウ,Ho-Oh
バチンキー,Chimstix
サルノリ,Chimpep
ビリジオン,Viridium
ヤナッキー,Vegichita
ヤナップ,Vegimak
キノガッサ,Kapilz
キノココ,Knilz
ダーテング,Tengulist
コノハナ,Blanas
タネボー,Samurzel
ドクケイル,Pudox
マユルド,Panekon
カラサリス,Schaloko
ケムッソ,Waumpel
そうじゅくエキス,Wachstumsextrakt
メガリザードンYex,MegaGlurakY ex
メガハガネールex,MegaStahlos ex
メガミミロップex,MegaSchlapor ex
メガカメックスex,MegaTurtok ex
メガフシギバナex,MegaBisaflor ex
セレナ,Serena
シトロン,Citro
ゼルネアス,Xerneas
ランクルス,Zytomega
シトロンのリュック,Citros Rucksack
ゲノセクト,Genesect
ダブラン,Mitodos
ユニラン,Monozyto
ブロスター,Wummer
ウデッポウ,Scampisto
バスラオ,Barschuft
