Smettbo,Butterfree
Alola-Sleimok ex,Muk de Alola ex
Alola-Sleimokex,Muk de Alola ex
Quartermak ex,Passimian ex
Quartermakex,Passimian ex
Lusardin ex,Wishiwashi ex
Lusardinex,Wishiwashi ex
Krawell ex,Crabominable ex
Krawellex,Crabominable ex
Fuegro ex,Incineroar ex
Fuegroex,Incineroar ex
Moruda ex,Dhelmise ex
Morudaex,Dhelmise ex
Silvarro ex,Decidueye ex
Silvarroex,Decidueye ex
Maho,Lulú
Chrys,Chris
Tracy,Capitana Nereida
Elima,Liam
Lola,Zarala
Koalelu,Komala
Kosturso,Bewear
Peppeck,Pikipek
Sen-Long,Drampa
Meteno,Minior
Pampross,Mudsdale
Wuffels,Rockruff
Kapu-Fala,Tapu Lele
Sankabuh,Sandygast
Curelei,Comfey
Wommel,Cutiefly
Kapu-Riki,Tapu Koko
Choreogel,Oricorio
Kapu-Kime,Tapu Fini
Tortunator,Turtonator
Alola-Knogga,Marowak de Alola
Kapu-Toro,Tapu Bulu
Fruyal,Tsareena
Blätterumhang,Capa Hoja
Giftstich,Flecha Venemosa
Rotom-Pokédex ex,RotomDex ex
Rotom-Pokédexex,RotomDex ex
Sonderbonbon,Caramelo Raro
Fischernetz,Red de Pesca
Maxi-Malasada,Malasada Maxi
Kommandutan,Oranguru
Velursi,Stufful
Manguspektor,Gumshoos
Mangunior,Yungoos
Trompeck,Trumbeak
Resladero,Hawlucha
Dartiri,Fletchling
Enekoro,Delcatty
Eneco,Skitty
Grandiras,Kommo-o
Mediras,Hakamo-o
Miniras,Jangmo-o
Clavion,Klefki
Cavalanzas,Escavalier
Stalobor,Excadrill
Alola-Digdri,Dugtrio de Alola
Alola-Digda,Diglett de Alola
Aggrostella ex,Toxapex ex
Aggrostellaex,Toxapex ex
Garstella,Mareanie
Deponitox,Garbodor
Unratütox,Trubbish
Alola-Snobilikat,Persian de Alola
Alola-Mauzi,Meowth de Alola
Alola-Rattikarl,Raticate de Alola
Alola-Rattfratz,Rattata de Alola
Pampuli,Mudbray
Wolwerock,Lycanroc
Meistagrif,Conkeldurr
Strepoli,Gurdurr
Praktibalk,Timburr
Rotomurf,Drilbur
Sonnfel,Solrock
Cosmovum,Cosmoem
Colossand,Palossand
Bandelby,Ribombee
Lunastein,Lunatone
Groink,Grumpig
Zobiris,Sableye
Donarion,Vikavolt
Akkup,Charjabug
Aranestro,Araquanid
Araqua,Dewpider
Lusardin,Wishiwashi
Primarene,Primarina
Marikeck,Brionne
Robball,Popplio
Alola-Sandamer,Sandslash de Alola
Alola-Sandan,Sandshrew de Alola
Miezunder,Torracat
Flamiau,Litten
Fiaro,Talonflame
Dartignis,Fletchinder
Tectass,Golisopod
Reißlaus,Wimpod
Frubaila,Steenee
Frubberl,Bounsweet
Mantidea,Lurantis
Imantis,Fomantis
Mabula,Grubbin
Arboretoss,Dartrix
Bauz,Rowlet
Trombork,Trevenant
Paragoni,Phantump
Laukaps,Karrablast
Maracamba,Maractus
Maskeregen,Masquerain
Gehweiher,Surskit
Venicro,Poipole
Bisasam ex,Bulbasaur ex
Bisasamex,Bulbasaur ex
Muramura,Stakataka
Abendmähne-Necrozma,Necrozma Melena Crepuscular
Morgenschwingen-Necrozma,Necrozma Alas del Alba
Voltriant,Xurkitree
Kopplosio,Blacephalon
Katagami,Kartana
Anego,Nihilego
Masskito ex,Buzzwole ex
Masskitoex,Buzzwole ex
Alola-Digdri ex,Dugtrio de Alola ex
Alola-Digdriex,Dugtrio de Alola ex
Schlingking ex,Guzzlord ex
Schlingkingex,Guzzlord ex
Wolwerock ex,Lycanroc ex
Wolwerockex,Lycanroc ex
Kapu-Riki ex,Tapu Koko ex
Kapu-Rikiex,Tapu Koko ex
Samantha,Samina
LeBelle,Handsome
Kaguron,Celesteela
Amigento,Silvally
Schabelle,Pheromosa
Bestienit,Entita
Elektrokabel,Cable Eléctrico
Schutz,Repelente
Bestienwand,Muro Ente
Typ:Null,Type: Null
Bissbark,Stoutland
Terribark,Herdier
Yorkleff,Lillipup
Tentantel,Ferrothorn
Kastadur,Ferroseed
Stolloss,Aggron
Stollrak,Lairon
Stollunior,Aron
Agoyon,Naganadel
Rabigator,Krookodile
Rokkaiman,Krokorok
Ganovil,Sandile
Quartermak,Passimian
Lepumentas,Claydol
Puppance,Baltoy
Tohaido,Sharpedo
Kanivanha,Carvanha
Mantax,Mantine
Silvarro,Decidueye
Evoli-Rucksack,Mochila de Eevee
Evoli ex,Eevee ex
Evoliex,Eevee ex
Relaxo ex,Snorlax ex
Relaxoex,Snorlax ex
Dragoran ex,Dragonite ex
Dragoranex,Dragonite ex
Feelinara ex,Sylveon ex
Feelinaraex,Sylveon ex
Primarene ex,Primarina ex
Primareneex,Primarina ex
Flamara ex,Flareon ex
Flamaraex,Flareon ex
Cosima,Noa
Tali,Tilo
Nachtara,Umbreon
Feelinara,Sylveon
Psiana,Espeon
Überreste,Restos
Schlaraffel,Greedent
Raffel,Skwovet
Ohrdoch,Audino
Rocara,Carbink
Pokusan,Alcremie
Hokumil,Milcery
Mamolida,Alomomola
Gelatwino,Vanilluxe
Gelatroppo,Vanillish
Gelatini,Vanillite
Fuegro,Incineroar
Qurtel,Torkoal
Schlapfel,Appletun
Knapfel,Applin
Panzaeron ex,Skarmory ex
Panzaeronex,Skarmory ex
Nachtara ex,Umbreon ex
Nachtaraex,Umbreon ex
Iksbat ex,Crobat ex
Iksbatex,Crobat ex
Psiana ex,Espeon ex
Psianaex,Espeon ex
Seedraking ex,Kingdra ex
Seedrakingex,Kingdra ex
Pottrott ex,Shuckle ex
Pottrottex,Shuckle ex
Wanderer,Montañero
Jasmin,Yasmina
Angler,Pescador
Silber,Plata
Lyra,Lira
Willi,Mento
Heiteira,Blissey
Farbeagle,Smeargle
Damhirplex,Stantler
Wiesor,Sentret
Scherox,Scizor
Webarak,Spinarak
Woingenau,Wobbuffet
Botogel,Delibird
Baldorfish,Qwilfish
Karnimani,Totodile
Feurigel,Cyndaquil
Endivie,Chikorita
Rettender Schal,Bufanda Rescatadora
Dunkler Anhänger,Colgante Sombrío
Stählerne Schürze,Peto de Acero
Schiggykanne,Squirgadera
Elementartausch,Permuta Elemental
Bisofank,Bouffalant
Dummisel,Dunsparce
Wiesenior,Furret
Klikdiklak,Klinklang
Kliklak,Klang
Klikk,Klink
Stahlos,Steelix
Forstellka,Forretress
Snibunna,Weavile
Thanathora,Barbaracle
Bithora,Binacle
Rabauz,Tyrogue
Somnivora,Musharna
Somniam,Munna
Pii,Cleffa
Kussilla,Smoochum
Laschoking,Slowking
Waaty,Flaaffy
Voltilamm,Mareep
Lampi,Chinchou
Krebutack,Crawdaunt
Krebscorps,Corphish
Corasonn,Corsola
Morlord,Quagsire
Felino,Wooper
Impergator,Feraligatr
Tyracroc,Croconaw
Quaxo,Politoed
Flampivian,Darmanitan
Flampion,Darumaka
Tornupto,Typhlosion
Igelavar,Quilava
Tannza,Pineco
Sonnflora,Sunflora
Sonnkern,Sunkern
Papungha,Jumpluff
Hubelupf,Skiploom
Hoppspross,Hoppip
Meganie,Meganium
Lorblatt,Bayleef
Heiteira ex,Blissey ex
Heiteiraex,Blissey ex
Mantirps,Mantyke
Quappo ex,Poliwrath ex
Quappoex,Poliwrath ex
Papungha ex,Jumpluff ex
Papunghaex,Jumpluff ex
Jens,Morti
Reisender Händler,Buhonero
Bianka,Blanca
Voldi,Yamper
Flunschlik,Stunfisk
Erinnerungslicht,Luz de la Memoria
Schlauchboot,Bote Inflable
Sengo,Zangoose
Wablu,Swablu
Fluffeluff,Igglybuff
Tandrak,Dragalge
Algitt,Skrelp
Calamanero,Malamar
Iscalar,Inkay
Vipitis,Seviper
Castellith,Crustle
Lithomith,Dwebble
Apoquallyp,Jellicent
Quabbel,Frillish
Traunmagil,Mismagius
Bellektro,Boltund
Frigometri,Cryogonal
Barschwa,Feebas
Fermicula,Durant
Flammenpflaster,Refuerzo Fuego
Lohgock,Blaziken
Servol,Indeedee
Xenia,Ariana
Imitarin,Imitadora
Lamina,Fantina
Maike,Aura
Hala,Kaudan
Benson,Ciprián
Geronimatz,Rufflet
Viscora,Goomy
Krarmor,Corviknight
Trikephalo,Hydreigon
Pam,Pancham
Aeropteryx,Archeops
Mollimorba,Gothita
Echnatoll,Cofagrigus
Kubuin,Eiscue
Kappalores,Ludicolo
Skelabra,Chandelure
Gortrom,Rillaboom
Papinella,Beautifly
Glückshandschuhe,Manoplas Suerte
Schwerer Helm,Casco Pesado
Tsitrubeere,Baya Zidra
Schildfossil,Fósil Tapa
Schlagender Hammer,Mazo Golpeador
Federfossil,Fósil Pluma
Rad des Zufalls,Ruleta Jugarreta
Kranoviz,Corvisquire
Meikro,Rookidee
Coiffwaff,Furfrou
Washakwil,Braviary
Kukmarda,Watchog
Nagelotz,Patrat
Pandir,Spinda
Krawumms,Exploud
Krakeelo,Loudred
Flurmel,Whismur
Geradaks,Linoone
Zigzachs,Zigzagoon
Viscogon,Goodra
Viscargot,Sliggoo
Durengard,Aegislash
Duokles,Doublade
Gramokles,Honedge
Kobalium,Cobalion
Olangaar,Grimmsnarl
Pelzebub,Morgrem
Bähmon,Impidimp
Pandagro,Pangoro
Duodino,Zweilous
Kapuno,Deino
Montecarbo,Coalossal
Wagong,Carkol
Klonkett,Rolycoly
Krawell,Crabominable
Terrakium,Terrakion
Flapteryx,Archen
Parfinesse,Aromatisse
Parfi,Spritzee
Morbitesse,Gothitelle
Hypnomorba,Gothorita
Makabaja,Yamask
Klingplim,Chingling
Barrakiefa,Barraskewda
Pikuda,Arrokuda
Arktilas,Avalugg
Arktip,Bergmite
Karippas,Carracosta
Galapaflos,Tirtouga
Branawarz,Seismitoad
Mebrana,Palpitoad
Schallquap,Tympole
Sodachita,Simipour
Sodamak,Panpour
Liebiskus,Luvdisc
Lombrero,Lombre
Loturzel,Lotad
Pyroleo,Pyroar
Leufeo,Litleo
Laternecto,Lampent
Lichtel,Litwick
Grillchita,Simisear
Grillmak,Pansear
Jungglut,Combusken
Flemmli,Torchic
Chimstix,Thwackey
Chimpep,Grookey
Viridium,Virizion
Vegichita,Simisage
Vegimak,Pansage
Kapilz,Breloom
Knilz,Shroomish
Tengulist,Shiftry
Blanas,Nuzleaf
Samurzel,Seedot
Pudox,Dustox
Panekon,Cascoon
Schaloko,Silcoon
Waumpel,Wurmple
Wachstumsextrakt,Extracto de Maduración
MegaGlurakY ex,MegaCharizardY ex
MegaGlurakYex,MegaCharizardY ex
MegaStahlos ex,MegaSteelix ex
MegaStahlosex,MegaSteelix ex
MegaSchlapor ex,MegaLopunny ex
MegaSchlaporex,MegaLopunny ex
MegaTurtok ex,MegaBlastoise ex
MegaTurtokex,MegaBlastoise ex
MegaBisaflor ex,MegaVenusaur ex
MegaBisaflorex,MegaVenusaur ex
Citro,Lem
Zytomega,Reuniclus
Citros Rucksack,Mochila de Lem
Mitodos,Duosion
Monozyto,Solosis
Wummer,Clawitzer
Scampisto,Clauncher
Barschuft,Basculin
